id_produto;pais;volumes
264;"Alemanha";357
131;"Alemanha";344
526;"Alemanha";342
896;"Alemanha";325
646;"Alemanha";321
572;"Alemanha";320
463;"Alemanha";319
310;"Alemanha";319
67;"Alemanha";318
96;"Alemanha";318
308;"Alemanha";315
515;"Alemanha";315
48;"Alemanha";314
429;"Alemanha";312
90;"Alemanha";311
959;"Alemanha";311
217;"Alemanha";310
626;"Alemanha";310
481;"Alemanha";309
892;"Alemanha";308
19;"Alemanha";308
727;"Alemanha";307
691;"Alemanha";305
905;"Alemanha";304
179;"Alemanha";303
724;"Alemanha";303
850;"Alemanha";302
362;"Alemanha";302
204;"Alemanha";302
446;"Alemanha";301
356;"Alemanha";301
937;"Alemanha";299
116;"Alemanha";299
589;"Alemanha";299
165;"Alemanha";299
843;"Alemanha";298
202;"Alemanha";298
76;"Alemanha";297
70;"Alemanha";297
751;"Alemanha";297
405;"Alemanha";296
958;"Alemanha";296
396;"Alemanha";296
119;"Alemanha";295
747;"Alemanha";295
996;"Alemanha";295
985;"Alemanha";294
44;"Alemanha";293
223;"Alemanha";292
904;"Alemanha";292
960;"Alemanha";292
232;"Alemanha";292
532;"Alemanha";291
246;"Alemanha";291
336;"Alemanha";291
943;"Alemanha";291
671;"Alemanha";291
868;"Alemanha";290
820;"Alemanha";290
535;"Alemanha";289
42;"Alemanha";288
689;"Alemanha";288
260;"Alemanha";288
698;"Alemanha";287
955;"Alemanha";286
389;"Alemanha";285
97;"Alemanha";285
244;"Alemanha";285
145;"Alemanha";284
399;"Alemanha";284
507;"Alemanha";284
153;"Alemanha";284
182;"Alemanha";283
827;"Alemanha";282
102;"Alemanha";282
383;"Alemanha";282
250;"Alemanha";282
377;"Alemanha";282
699;"Alemanha";282
650;"Alemanha";282
542;"Alemanha";282
976;"Alemanha";281
349;"Alemanha";281
113;"Alemanha";281
312;"Alemanha";281
336;"Austrália";281
753;"Alemanha";281
815;"Alemanha";280
517;"Alemanha";280
170;"Alemanha";280
237;"Alemanha";280
265;"Alemanha";279
934;"Alemanha";279
207;"Alemanha";279
77;"Alemanha";278
432;"Alemanha";278
676;"Alemanha";278
842;"Alemanha";277
494;"Alemanha";277
290;"Alemanha";277
360;"Austrália";277
888;"Alemanha";276
864;"Alemanha";276
285;"Alemanha";276
228;"Alemanha";276
613;"Alemanha";276
110;"Alemanha";276
799;"Alemanha";275
772;"Alemanha";275
43;"Alemanha";275
355;"Alemanha";274
662;"Alemanha";273
327;"Alemanha";273
89;"Alemanha";273
161;"Alemanha";273
585;"Alemanha";273
277;"Alemanha";272
71;"Alemanha";272
328;"Alemanha";272
945;"Alemanha";271
548;"Alemanha";271
108;"Alemanha";271
607;"Alemanha";271
123;"Alemanha";271
907;"Alemanha";271
722;"Alemanha";270
911;"Alemanha";270
813;"Alemanha";270
225;"Alemanha";270
629;"Alemanha";270
797;"Alemanha";270
991;"Alemanha";269
636;"Alemanha";269
291;"Alemanha";269
638;"Japão";269
768;"Alemanha";269
855;"Alemanha";269
242;"Alemanha";268
2;"Alemanha";268
86;"Alemanha";268
637;"Alemanha";267
115;"Alemanha";266
55;"Alemanha";266
549;"Alemanha";266
743;"Alemanha";266
151;"Alemanha";266
364;"Alemanha";266
52;"Alemanha";266
412;"Alemanha";266
8;"Alemanha";266
514;"Alemanha";265
